Time,Extinction,Scattering,Absorption,MEE,MSE,MAE,SSA,SAE450700,AAE370880,Vis_Naked,Vis_LPV,BC,VC,PBLH,T_OC,T_EC,O_OC,O_EC,POC_mass,SOC_mass,NOR,SOR,PM1,ALWC,pH
2020-09-01 00:00:00,49.492,44.329,5.163,4.499253376,4.029909091,0.469344285,0.895683962,2.32,1.145,,18.596,387.0909091,,,,,,,,,,,,,
2020-09-01 01:00:00,48.347,43.588,4.759,3.021712406,2.72425,0.297462406,0.901558333,2.385,1.164,15.0,11.243,364.7962963,,,,,,,,,,,,,
2020-09-01 02:00:00,50.465,44.469,5.996,3.604650843,3.176357143,0.4282937,0.881183027,2.395,1.122,,12.814,460.7017544,,,,,,,,,,,,,
2020-09-01 03:00:00,55.198,50.7,4.498,3.94269963,3.621428571,0.321271059,0.918514955,2.486,1.115,,12.25,343.5892857,,,,,,,,,,,,,
2020-09-01 04:00:00,62.98,54.519,8.461,3.936248859,3.4074375,0.528811359,0.865656015,2.552,1.036,15.0,7.864,654.2142857,,,,,,,,,,,,,
2020-09-01 05:00:00,62.43,53.826,8.604,4.161989434,3.5884,0.573589434,0.862183832,2.54,1.037,,8.377,671.6101695,,,,,,,,,,,,,
2020-09-01 06:00:00,70.313,53.398,16.915,3.515661775,2.6699,0.845761775,0.759430278,2.498,1.089,,9.326,1301.910714,,,,,,,,,,,,,
2020-09-01 07:00:00,77.027,56.871,20.156,3.667956167,2.708142857,0.959813309,0.73832476,2.426,1.082,20.0,13.268,1555.15,,,,,,,,,,,,,
2020-09-01 08:00:00,63.273,48.611,14.662,4.519528181,3.472214286,1.047313895,0.768269197,2.548,1.009,20.0,14.105,1141.633333,1390.573,731.881,,,,,,,,,,,
2020-09-01 09:00:00,59.264,42.96,16.304,3.292447531,2.386666667,0.905780865,0.724891329,2.662,1.005,,18.023,1266.183333,1763.453,839.74,,,,,,,,,,,
2020-09-01 10:00:00,60.88,45.361,15.519,4.05868312,3.024066667,1.034616454,0.745085679,2.648,1.036,20.0,20.028,1190.183333,1950.311,928.719,,,,,,,,,,,
2020-09-01 11:00:00,64.2,51.743,12.457,3.776444349,3.043705882,0.732738467,0.805971332,2.587,1.006,,18.33,961.9833333,2326.174,969.239,,,,,,,,,,,
2020-09-01 12:00:00,62.193,50.623,11.57,3.455140245,2.812388889,0.642751356,0.813972426,2.6,1.008,,18.596,899.2333333,2088.65,908.109,,,,,,,,,,,
2020-09-01 13:00:00,69.05,56.32,12.73,4.932115724,4.022857143,0.909258581,0.815645327,2.566,0.985,20.0,17.982,996.55,1673.66,796.981,,,,,,,,,,,
2020-09-01 14:00:00,74.278,60.636,13.642,5.305587503,4.331142857,0.974444646,0.816336146,2.491,0.989,,15.772,1065.05,1362.543,681.272,,,,,,,,,,,
2020-09-01 15:00:00,76.813,60.368,16.445,5.486662277,4.312,1.174662277,0.785905854,2.446,0.981,,15.592,1286.316667,977.877,543.265,,,,,,,,,,,
2020-09-01 16:00:00,75.604,54.523,21.081,3.780194404,2.72615,1.054044404,0.721166614,2.466,0.976,20.0,15.441,1651.55,735.403,490.268,,,,,,,,,,,
2020-09-01 17:00:00,88.977,63.61,25.367,4.682975573,3.347894737,1.335080836,0.714907581,2.455,1.015,,14.12,1964.933333,544.919,419.168,,,,,,,,,,,
2020-09-01 18:00:00,100.473,77.466,23.007,5.910174007,4.556823529,1.353350478,0.771013429,2.441,1.069,,10.162,1779.053571,331.402,254.924,,,,,,,,,,,
2020-09-01 19:00:00,107.794,80.911,26.883,5.389716824,4.04555,1.344166824,0.750605297,2.386,1.069,12.0,9.207,2065.783333,392.32,230.777,,,,,,,,,,,
2020-09-01 20:00:00,114.783,96.614,18.169,4.591305969,3.86456,0.726745969,0.841712582,2.318,1.052,12.0,7.211,1396.133333,308.973,237.672,,,,,,,,,,,
2020-09-01 21:00:00,95.91,82.551,13.359,3.196998659,2.7517,0.445298659,0.86071353,2.364,1.029,,6.039,1037.533333,192.384,274.834,,,,,,,,,,,
2020-09-01 22:00:00,108.835,91.824,17.011,4.030924428,3.400888889,0.630035539,0.843699491,2.337,1.011,12.0,5.295,1329.65,189.543,315.906,,,,,,,,,,,
2020-09-01 23:00:00,146.794,129.322,17.472,5.24264218,4.618642857,0.623999323,0.880976175,2.195,1.053,,4.855,1357.666667,217.885,363.142,,,,,,,,,,,
