Time,T_OC,T_EC,O_OC,O_EC,POC_mass,SOC_mass,NOR,SOR
2020/9/1 00:00,,,,,,,,
2020/9/1 01:00,,,,,,,,
2020/9/1 02:00,,,,,,,,
2020/9/1 03:00,,,,,,,,
2020/9/1 04:00,,,,,,,,
2020/9/1 05:00,,,,,,,,
2020/9/1 06:00,,,,,,,,
2020/9/1 07:00,,,,,,,,
2020/9/1 08:00,,,,,,,,
2020/9/1 09:00,,,,,,,,
2020/9/1 10:00,,,,,,,,
2020/9/1 11:00,,,,,,,,
2020/9/1 12:00,,,,,,,,
2020/9/1 13:00,,,,,,,,
2020/9/1 14:00,,,,,,,,
2020/9/1 15:00,,,,,,,,
2020/9/1 16:00,,,,,,,,
2020/9/1 17:00,,,,,,,,
2020/9/1 18:00,,,,,,,,
2020/9/1 19:00,,,,,,,,
2020/9/1 20:00,,,,,,,,
2020/9/1 21:00,,,,,,,,
2020/9/1 22:00,,,,,,,,
2020/9/1 23:00,,,,,,,,
2020/9/2 00:00,,,,,,,,
2020/9/2 01:00,,,,,,,,
2020/9/2 02:00,,,,,,,,
2020/9/2 03:00,,,,,,,,
2020/9/2 04:00,,,,,,,,
2020/9/2 05:00,,,,,,,,
2020/9/2 06:00,,,,,,,,
2020/9/2 07:00,,,,,,,,
2020/9/2 08:00,,,,,,,,
2020/9/2 09:00,,,,,,,,
2020/9/2 10:00,,,,,,,,
2020/9/2 11:00,,,,,,,,
2020/9/2 12:00,,,,,,,,
2020/9/2 13:00,,,,,,,,
2020/9/2 14:00,,,,,,,,
2020/9/2 15:00,,,,,,,,
2020/9/2 16:00,,,,,,,,
2020/9/2 17:00,,,,,,,,
2020/9/2 18:00,,,,,,,,
2020/9/2 19:00,,,,,,,,
2020/9/2 20:00,,,,,,,,
2020/9/2 21:00,,,,,,,,
2020/9/2 22:00,,,,,,,,
2020/9/2 23:00,,,,,,,,
2020/9/3 00:00,,,,,,,,
2020/9/3 01:00,,,,,,,,
2020/9/3 02:00,,,,,,,,
2020/9/3 03:00,,,,,,,,
2020/9/3 04:00,,,,,,,,
2020/9/3 05:00,,,,,,,,
2020/9/3 06:00,,,,,,,,
2020/9/3 07:00,,,,,,,,
2020/9/3 08:00,,,,,,,,
2020/9/3 09:00,,,,,,,,
2020/9/3 10:00,,,,,,,,
2020/9/3 11:00,,,,,,,,
2020/9/3 12:00,,,,,,,,
2020/9/3 13:00,,,,,,,,
2020/9/3 14:00,,,,,,,,
2020/9/3 15:00,,,,,,,,
2020/9/3 16:00,,,,,,,,
2020/9/3 17:00,,,,,,,,
2020/9/3 18:00,,,,,,,,
2020/9/3 19:00,,,,,,,,
2020/9/3 20:00,,,,,,,,
2020/9/3 21:00,,,,,,,,
2020/9/3 22:00,,,,,,,,
2020/9/3 23:00,,,,,,,,
2020/9/4 00:00,,,,,,,0.019,0.183
2020/9/4 01:00,,,,,,,0.037,0.181
2020/9/4 02:00,,,,,,,0.016,0.262
2020/9/4 03:00,,,,,,,0.019,0.223
2020/9/4 04:00,,,,,,,,
2020/9/4 05:00,,,,,,,0.012,0.18
2020/9/4 06:00,,,,,,,0.01,0.18
2020/9/4 07:00,,,,,,,0.032,0.169
2020/9/4 08:00,,,,,,,0.084,0.276
2020/9/4 09:00,,,,,,,0.162,0.365
2020/9/4 10:00,,,,,,,0.067,0.451
2020/9/4 11:00,,,,,,,0.056,0.504
2020/9/4 12:00,,,,,,,0.082,0.419
2020/9/4 13:00,,,,,,,0.05,0.45
2020/9/4 14:00,,,,,,,0.032,0.46
2020/9/4 15:00,,,,,,,0.038,0.488
2020/9/4 16:00,,,,,,,0.04,0.471
2020/9/4 17:00,,,,,,,0.03,0.424
2020/9/4 18:00,3.607388589,0.938676617,3.365,1.504,1.52822168,2.33562332,0.03,0.391
2020/9/4 19:00,,,,,,,0.028,0.368
2020/9/4 20:00,1.527105579,0.36038039,3.402,1.437,1.40442376,2.51085324,0.021,0.394
2020/9/4 21:00,1.467285715,0.347701437,3.938,1.452,1.56958392,2.78803408,0.031,0.454
2020/9/4 22:00,0.463468437,0.070940481,3.931,1.181,1.031498448,3.402045552,0.028,0.473
2020/9/4 23:00,0.703206855,0.092522658,4.951,1.268,1.09903524,4.39641176,0.045,0.494
2020/9/5 00:00,,,,,,,0.071,0.397
2020/9/5 01:00,0.531677535,0.084540143,4.079,1.07,1.07375004,3.36892896,0.154,0.428
2020/9/5 02:00,0.555936645,0.084158683,3.657,0.792,0.8890784,2.9747946,0.26,0.402
2020/9/5 03:00,0.647495534,0.116441143,3.729,0.728,1.032688,2.745259,0.373,0.489
2020/9/5 04:00,,,,,,,0.368,0.547
2020/9/5 05:00,0.343319607,0.04968272,3.467,0.74,0.808394824,2.866739176,0.333,0.57
2020/9/5 06:00,0.367692557,0.054669555,3.478,0.772,0.836160816,2.863701184,0.298,0.516
2020/9/5 07:00,0.512368823,0.088699838,3.577,0.964,1.018515976,2.852136024,0.223,0.501
2020/9/5 08:00,1.105605866,0.34423866,3.991,2.125,2.207192,2.456579,0.22,0.564
2020/9/5 09:00,,,,,,,0.135,0.582
2020/9/5 10:00,7.007543628,2.002584228,4.31,1.632,2.00742752,2.61394848,0.115,0.509
2020/9/5 11:00,7.412143305,1.915881947,3.103,1.148,1.326892056,2.050387944,0.155,0.461
2020/9/5 12:00,6.024305579,1.316561292,2.823,0.814,0.99152868,1.99335632,0.043,0.378
2020/9/5 13:00,,,,,,,0.056,0.401
2020/9/5 14:00,4.998690226,1.308544623,2.545,0.768,1.044820488,1.581004512,,
