Time,Extinction,Scattering,Absorption,MEE,MSE,MAE,SSA,SAE450700,AAE370880,Vis_Naked,Vis_LPV,BC
2020/9/1 00:00,49.492,44.329,5.163,4.499253376,4.029909091,0.469344285,0.895683962,2.32,1.145,,18.596,387.0909091
2020/9/1 01:00,48.347,43.588,4.759,3.021712406,2.72425,0.297462406,0.901558333,2.385,1.164,15,11.243,364.7962963
2020/9/1 02:00,50.465,44.469,5.996,3.604650843,3.176357143,0.4282937,0.881183027,2.395,1.122,,12.814,460.7017544
2020/9/1 03:00,55.198,50.7,4.498,3.94269963,3.621428571,0.321271059,0.918514955,2.486,1.115,,12.25,343.5892857
2020/9/1 04:00,62.98,54.519,8.461,3.936248859,3.4074375,0.528811359,0.865656015,2.552,1.036,15,7.864,654.2142857
2020/9/1 05:00,62.43,53.826,8.604,4.161989434,3.5884,0.573589434,0.862183832,2.54,1.037,,8.377,671.6101695
2020/9/1 06:00,70.313,53.398,16.915,3.515661775,2.6699,0.845761775,0.759430278,2.498,1.089,,9.326,1301.910714
2020/9/1 07:00,77.027,56.871,20.156,3.667956167,2.708142857,0.959813309,0.73832476,2.426,1.082,20,13.268,1555.15
2020/9/1 08:00,63.273,48.611,14.662,4.519528181,3.472214286,1.047313895,0.768269197,2.548,1.009,20,14.105,1141.633333
2020/9/1 09:00,59.264,42.96,16.304,3.292447531,2.386666667,0.905780865,0.724891329,2.662,1.005,,18.023,1266.183333
2020/9/1 10:00,60.88,45.361,15.519,4.05868312,3.024066667,1.034616454,0.745085679,2.648,1.036,20,20.028,1190.183333
2020/9/1 11:00,64.2,51.743,12.457,3.776444349,3.043705882,0.732738467,0.805971332,2.587,1.006,,18.33,961.9833333
2020/9/1 12:00,62.193,50.623,11.57,3.455140245,2.812388889,0.642751356,0.813972426,2.6,1.008,,18.596,899.2333333
2020/9/1 13:00,69.05,56.32,12.73,4.932115724,4.022857143,0.909258581,0.815645327,2.566,0.985,20,17.982,996.55
2020/9/1 14:00,74.278,60.636,13.642,5.305587503,4.331142857,0.974444646,0.816336146,2.491,0.989,,15.772,1065.05
2020/9/1 15:00,76.813,60.368,16.445,5.486662277,4.312,1.174662277,0.785905854,2.446,0.981,,15.592,1286.316667
2020/9/1 16:00,75.604,54.523,21.081,3.780194404,2.72615,1.054044404,0.721166614,2.466,0.976,20,15.441,1651.55
2020/9/1 17:00,88.977,63.61,25.367,4.682975573,3.347894737,1.335080836,0.714907581,2.455,1.015,,14.12,1964.933333
2020/9/1 18:00,100.473,77.466,23.007,5.910174007,4.556823529,1.353350478,0.771013429,2.441,1.069,,10.162,1779.053571
2020/9/1 19:00,107.794,80.911,26.883,5.389716824,4.04555,1.344166824,0.750605297,2.386,1.069,12,9.207,2065.783333
2020/9/1 20:00,114.783,96.614,18.169,4.591305969,3.86456,0.726745969,0.841712582,2.318,1.052,12,7.211,1396.133333
2020/9/1 21:00,95.91,82.551,13.359,3.196998659,2.7517,0.445298659,0.86071353,2.364,1.029,,6.039,1037.533333
2020/9/1 22:00,108.835,91.824,17.011,4.030924428,3.400888889,0.630035539,0.843699491,2.337,1.011,12,5.295,1329.65
2020/9/1 23:00,146.794,129.322,17.472,5.24264218,4.618642857,0.623999323,0.880976175,2.195,1.053,,4.855,1357.666667
2020/9/2 00:00,155.626,136.556,19.07,5.763934576,5.05762963,0.706304947,0.877461318,2.201,1.14,,4.764,1451.5
2020/9/2 01:00,161.346,143.689,17.657,5.378188755,4.789633333,0.588555422,0.890566239,2.158,1.173,12,4.451,1335.6
2020/9/2 02:00,162.665,145.5,17.165,4.929245822,4.409090909,0.520154913,0.894475761,2.136,1.151,,4.476,1300.433333
2020/9/2 03:00,154.312,139.956,14.356,4.822260923,4.373625,0.448635923,0.906965647,2.141,1.165,,4.899,1079.666667
2020/9/2 04:00,133.593,120.367,13.226,5.343712354,4.81468,0.529032354,0.900999096,2.182,1.201,12,5.407,981.2
2020/9/2 05:00,122.99,108.911,14.079,4.730390102,4.188884615,0.541505487,0.885526251,2.245,1.202,,8.042,1040.45
2020/9/2 06:00,102.091,88.885,13.206,4.861479134,4.232619048,0.628860086,0.87064429,2.307,1.227,,10.721,965.8035714
2020/9/2 07:00,72.666,61.331,11.335,4.541628674,3.8331875,0.708441174,0.844011648,2.408,1.215,20,11.16,843.05
2020/9/2 08:00,62.511,50.7,11.811,3.906962257,3.16875,0.738212257,0.811052115,2.458,1.146,20,14.236,882.4833333
2020/9/2 09:00,66.022,53.897,12.125,5.078623749,4.145923077,0.932700672,0.816347751,2.43,1.1,,14.853,926.9333333
2020/9/2 10:00,71.686,58.653,13.033,3.982562182,3.2585,0.724062182,0.81819187,2.452,1.097,20,14.613,986.2333333
2020/9/2 11:00,82.273,67.308,14.965,4.570716692,3.739333333,0.831383359,0.818106565,2.446,1.121,,13.465,1113.083333
2020/9/2 12:00,81.52,66.913,14.607,4.795298965,3.936058824,0.859240142,0.820816148,2.498,1.11,,14.016,1087.816667
2020/9/2 13:00,88.097,73.604,14.493,4.894304229,4.089111111,0.805193118,0.83548364,2.511,1.099,15,13.622,1078.316667
2020/9/2 14:00,95.191,75.06,20.131,6.346070424,5.004,1.342070424,0.788519456,2.434,1.149,,13.483,1476.2
2020/9/2 15:00,110.293,85.527,24.766,6.127379202,4.7515,1.375879202,0.775453884,2.343,1.172,,13.388,1803.716667
2020/9/2 16:00,111.69,93.089,18.601,7.445977241,6.205933333,1.240043907,0.833461228,2.235,1.185,15,12.097,1361.233333
2020/9/2 17:00,128.087,110.133,17.954,5.568982174,4.788391304,0.78059087,0.859832399,2.217,1.168,,9.814,1320.3
