Time,Number,GMDn,GSDn,mode_n,ultra_n,accum_n,coarse_n,Surface,GMDs,GSDs,mode_s,ultra_s,accum_s,coarse_s,Volume,GMDv,GSDv,mode_v,ultra_v,accum_v,coarse_v
2020-09-06 01:00:00,19774.759134377015,32.54765111345142,2.0570443709578528,[  28.08181068  131.1701642  2075.843294  ],0.9,0.1,0.0,327646991.425702,183.10833925222414,2.5034115275591,[  45.45856458  241.4403412  2213.536292  ],0.21,0.76,0.03,14859073867.734562,403.15016570758166,2.4701923768283542,[ 322.3474232 2213.536292 ],0.04,0.77,0.19
2020-09-06 02:00:00,36298.693574111516,31.291848292565586,1.7982344977069487,[ 26.33498199 135.450653  ],0.95,0.05,0.0,383968574.2900312,140.1056331335581,2.7216425162051996,[  39.97896578  257.455348   1024.192684  ],0.34,0.64,0.02,14362838060.245237,351.6088367282738,2.557894569216827,[  53.37598736  322.3474232  2285.770837  ],0.07,0.77,0.16
2020-09-06 03:00:00,28374.02809206136,33.24622490921865,1.8803725824366346,[ 26.33498199 135.450653  ],0.93,0.07,0.0,383413024.2216115,162.53696206508667,2.681920956529292,[ 44.02199067 257.455348   593.3336464 ],0.28,0.69,0.03,16516123146.18992,406.45711024536706,2.5928196561730976,[  58.77383697  332.866618   2360.36262   ],0.05,0.74,0.2
2020-09-06 04:00:00,38096.4130475085,31.89830215907534,1.8893872016132442,[ 27.19437402 131.1701642 ],0.93,0.07,0.0,486801648.1552483,162.50604450566817,2.7397373438933874,[  42.63081512  199.1285777  2213.536292  ],0.28,0.69,0.03,21416667056.064007,423.13978036220766,2.631342270247867,[  53.37598736  366.5290201  2285.770837  ],0.05,0.73,0.22
2020-09-06 05:00:00,34972.078558252426,31.409532549613495,1.9169602808077055,[ 26.33498199 144.4352457  612.6959611 ],0.93,0.07,0.0,520980624.2212633,208.7142217451789,3.000470881727897,[ 45.45856458 274.5326481  674.6571692 ],0.24,0.7,0.06,31109176181.22622,577.0426493517391,2.4910767075139995,[ 56.91647606 366.5290201  696.6733223 ],0.03,0.69,0.28
2020-09-06 07:00:00,28516.646360023486,30.738865553659554,1.8842659877872632,[ 21.033461    75.98928704 593.3336464 ],0.94,0.06,0.0,358136625.78714466,172.66473956191385,2.869339669915427,[ 39.97896578  78.46905285 265.8569135 ],0.28,0.68,0.05,17482781961.16987,486.299956896666,2.6893020340642972,[ 39.97896578  78.46905285 354.9460316 ],0.05,0.68,0.28
2020-09-06 08:00:00,9075.756796539734,42.71910733638992,2.4640777528397657,[ 16.79919438  35.15988065 127.0249468 ],0.79,0.21,0.0,301856096.39718187,224.20187306287224,2.2465631984718932,[  16.79919438  241.4403412  2213.536292  ],0.13,0.82,0.05,15941110249.14304,462.9630077207884,2.4966432953226407,[  21.71984798  354.9460316  2360.36262   ],0.03,0.73,0.25
2020-09-06 09:00:00,12054.450742426387,46.44396131614242,2.25868645402271,[ 25.50274832  60.69180932 192.8357499 ],0.8,0.2,0.0,381343853.9533912,209.29083537697917,2.219355049321232,[ 27.19437402  53.37598736 257.455348  ],0.15,0.81,0.03,18426556069.29481,412.28019680036414,2.4226312037554387,[ 312.1606541 2285.770837 ],0.03,0.77,0.2
2020-09-06 10:00:00,7677.193125823201,54.3516450627143,2.4588131094412615,[ 23.16054969  78.46905285 175.1255164 ],0.72,0.28,0.0,331111751.5668229,221.81355176994555,2.0708500867210056,[ 23.91635017  81.0297411  249.3192874 ],0.12,0.85,0.03,16264232148.81779,406.10711450821805,2.362733759840459,[ 25.50274832 292.7427044  574.5832163 ],0.03,0.78,0.19
2020-09-06 11:00:00,11886.73320864239,44.12718955052945,2.4250013283125105,[19.72507481 37.4920747  78.46905285],0.78,0.22,0.0,397903533.54682785,219.0521618845294,2.2000120630736077,[ 17.34740413  46.94201835 265.8569135 ],0.13,0.83,0.04,20113111806.17026,433.664083491358,2.4472481758499707,[  26.33498199  302.2958056  2285.770837  ],0.03,0.75,0.22
