Time,SO2,NO,NOx,NO2,CO,O3,THC,CH4,NMHC,PM10,PM25,WS,WD,AT,RH,RT,Benzene,Toluene,EthylBenzene,m/p-Xylene,o-Xylene,Si,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Br,Sr,Ag,Cd,Sn,Sb,Ba,Hg,Tl,Pb,NH3,HF,HCl,HNO2,HNO3,G-SO2,Na+,NH4+,K+,Mg2+,Ca2+,F-,Cl-,NO2-,NO3-,PO43-,SO42-
2020/9/1 00:00,2.6,6,16.2,10.2,0.49,15.8,2,1.9,0.1,18,11,1.7,43,26.4,94.8,24.3,0.36,0.95,-,0.15,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.2594,-,1.1959,0.3918,-,0.2114,0.4731,5.0759,0.3169,2.5545,-,-,0.4589,-,0.3169,-,4.7731
2020/9/1 01:00,2,5.2,19.9,14.7,0.52,13.3,2,1.9,-,20,16,1.2,41,26.2,94.9,24.5,-,1.02,0.02,0.15,0.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.4349,-,1.2838,0.4938,0.1084,0.1641,0.5932,4.8949,0.1354,2.3307,-,-,0.5138,0.1915,-,-,4.8295
2020/9/1 02:00,1.7,6.2,21.3,15,0.57,12.9,2,1.9,0.1,26,14,1.2,27,26,94.9,24.4,-,0.83,-,0.13,0.28,0.598401,0.00518,-,0.000498,0.001633,0.07042,-,-,-,0.027257,-,-,0.002843,0.001679,-,-,-,-,0.014625,-,0.00041,-,-,18.6826,-,1.2328,0.7514,-,0.2729,0.7096,4.8299,0.0899,2.5781,-,-,0.5156,0.2223,0.6244,-,5.0049
2020/9/1 03:00,2.1,3.3,16.1,12.9,0.51,19.7,2,1.9,0.1,33,14,1.4,39,25.7,94.9,24.5,-,0.77,0.02,0.12,-,0.895955,0.007177,-,0.000431,0.003003,0.108338,-,-,-,0.047299,-,-,0.002569,0.002508,-,-,-,-,0.008326,-,0.000384,-,-,17.5186,-,1.399,1.0023,-,0.2283,0.3311,4.6974,0.0851,2.4883,-,-,0.6055,-,0.5913,-,5.0995
2020/9/1 04:00,2.1,5.4,19.7,14.3,0.41,15.4,2,1.9,0.1,31,16,1.2,27,25.7,94.9,24.6,-,1.04,-,0.15,-,0.799612,0.005589,0.001041,0.000495,0.001024,0.045238,-,-,0.008786,0.0215,-,-,0.001554,0.003367,-,-,-,-,0.018433,-,-,-,-,16.9244,-,1.4013,1.147,-,0.1752,0.2347,5.1832,0.0958,2.4383,-,-,0.6802,-,0.776,-,5.9832
2020/9/1 05:00,2,16.5,33.7,17.3,0.53,12.6,2,2,0.1,30,15,0.9,21,25.6,94.7,24.8,-,0.57,0.07,0.02,-,0.81415,0.005975,0.000951,0.000726,0.000637,0.036727,-,-,-,0.01018,-,-,0.000719,0.003204,-,-,-,-,0.012021,-,0.00026,-,-,16.7098,-,1.1906,0.7293,-,0.1755,0.1214,5.3572,0.341,2.1999,-,-,0.6446,-,0.8314,-,6.4362
2020/9/1 06:00,2.3,26,41.6,15.6,0.78,11.4,2.1,1.9,0.1,36,20,0.9,10,25.9,94.5,27,-,0.53,-,0.53,-,1.196,0.007351,0.000723,0.000749,0.000722,0.055809,-,-,-,0.01075,-,-,0.001441,0.003182,-,-,-,0.015164,0.005644,-,-,-,-,15.9295,-,1.0302,1.1477,-,-,0.0873,5.6894,0.3686,2.1584,-,-,0.2086,0.3638,0.9361,-,6.6546
2020/9/1 07:00,3.4,36.7,55.1,18.3,1.19,14.7,2.2,2,0.2,42,21,1.2,24,27.2,94.5,27.3,-,-,-,-,-,0.624822,0.007909,0.000983,0.000769,0.000963,0.11548,-,-,-,0.012044,-,-,0.000942,0.004392,-,-,-,-,0.003266,0.003222,-,-,-,16.0424,-,0.53,0.9604,-,0.2367,0.0662,5.3928,0.3028,1.9963,-,-,0.1183,0.3028,1.0029,-,5.6293
2020/9/1 08:00,3.2,20.9,32.8,11.9,0.86,22,2.1,1.9,0.2,32,14,1.9,26,28.7,83.8,27.4,0.23,2.58,0.21,0.83,0.29,0.816656,0.013337,0.000467,0.001919,0.005023,0.278006,-,-,0.01211,0.020864,-,-,0.00262,0.004281,-,-,0.008309,0.013552,0.016239,0.010645,0.000643,-,-,16.2732,-,1.007,0.958,0.1624,0.3141,0.0804,5.5111,0.3122,2.001,-,-,0.1088,0.2649,1.7125,-,6.074
2020/9/1 09:00,3,15.8,25.9,10.1,0.57,26.3,2.1,2,0.1,32,18,2.1,25,29.4,65,27.4,0.24,1.47,0.1,0.5,0.15,0.291813,0.00634,0.000581,0.001216,0.003922,0.165573,-,-,0.009814,0.011576,-,0.000164,0.000806,0.003292,-,-,-,0.013264,0.019492,0.005706,8.3E-05,-,-,16.1535,-,1.1917,0.5762,0.1596,0.3523,0.0662,5.1657,0.1561,2.1619,-,-,0.3784,-,1.2299,-,6.0598
